Threshold,Recall,Specificity,Precision,ROC_AUC,AHP_Score,TP,FP,FN,TN
0.7900000000000001,0.03626943005181347,1.0,1.0,1.0,0.37521347150259066,7,0,186,19
0.8000000000000002,0.03626943005181347,1.0,1.0,1.0,0.37521347150259066,7,0,186,19
0.8100000000000002,0.03626943005181347,1.0,1.0,1.0,0.37521347150259066,7,0,186,19
0.8200000000000002,0.03626943005181347,1.0,1.0,1.0,0.37521347150259066,7,0,186,19
0.8300000000000002,0.031088082901554404,1.0,1.0,1.0,0.3718544041450777,6,0,187,19
0.8400000000000002,0.031088082901554404,1.0,1.0,1.0,0.3718544041450777,6,0,187,19
0.8500000000000002,0.031088082901554404,1.0,1.0,1.0,0.3718544041450777,6,0,187,19
0.8600000000000002,0.031088082901554404,1.0,1.0,1.0,0.3718544041450777,6,0,187,19
0.8700000000000002,0.031088082901554404,1.0,1.0,1.0,0.3718544041450777,6,0,187,19
0.8800000000000002,0.031088082901554404,1.0,1.0,1.0,0.3718544041450777,6,0,187,19
0.8900000000000002,0.02072538860103627,1.0,1.0,1.0,0.36513626943005184,4,0,189,19
0.9000000000000002,0.015544041450777202,1.0,1.0,1.0,0.36177720207253883,3,0,190,19
0.9100000000000003,0.010362694300518135,1.0,1.0,1.0,0.3584181347150259,2,0,191,19
0.9200000000000003,0.0051813471502590676,1.0,1.0,1.0,0.3550590673575129,1,0,192,19
0.9300000000000002,0.0051813471502590676,1.0,1.0,1.0,0.3550590673575129,1,0,192,19
0.9400000000000002,0.0051813471502590676,1.0,1.0,1.0,0.3550590673575129,1,0,192,19
0.9500000000000002,0.0,1.0,0.0,1.0,0.3517,0,0,193,19
