Va;Vb;Vc;phi_Va;phi_Vb;phi_Vc;Ia;Ib;Ic;phi_Ia;phi_Ib;phi_Ic;RF;Factor_Carga;Nodo_Falla;Tipo_Falla
127,011;127,011;127,011;-0,00419544;-0,00419544;-0,00419544;18,9132;18,9132;18,9132;-19,9257;-139,926;100,074;10;1;632;LLL ABC
127,011;127,011;127,011;-0,00419544;-0,00419544;-0,00419544;13,2683;13,2683;13,2683;-23,2631;-143,263;96,7369;20;1;632;LLL ABC
127,011;127,011;127,011;-0,00419544;-0,00419544;-0,00419544;9,93978;9,93978;9,93978;-28,4598;-148,46;91,5402;50;1;632;LLL ABC
126,996;127,007;127,007;-0,00696955;-120,004;119,99;126,631;15,9508;29,7799;-82,7141;118,661;85,3474;0;1,2;632;L A
126,996;127,007;127,007;-0,00696955;-120,004;119,99;105,855;17,111;27,4672;-57,7634;146,008;97,8838;0,5;1,2;632;L A
126,996;127,007;127,007;-0,00696955;-120,004;119,99;82,3719;15,8996;24,2436;-44,8663;161,434;102,646;1;1,2;632;L A
126,996;127,007;127,007;-0,00696955;-120,004;119,99;56,1837;13,7481;20,7879;-35,9224;175,079;103,558;2;1,2;632;L A
126,996;127,007;127,007;-0,00696955;-120,004;119,99;33,4477;11,3882;18,1794;-35,312;-174,244;100,589;5;1,2;632;L A
126,996;127,007;127,007;-0,00696955;-120,004;119,99;25,2771;10,3847;17,3718;-40,1275;-170,377;98,4332;10;1,2;632;L A
126,996;127,007;127,007;-0,00696955;-120,004;119,99;21,3958;9,84344;17,0088;-45,2648;-168,417;97,0927;20;1,2;632;L A
126,996;127,007;127,007;-0,00696955;-120,004;119,99;19,2456;9,50674;16,8087;-49,7925;-167,24;96,2045;50;1,2;632;L A
126,996;127,007;127,007;-0,00696955;-120,004;119,99;34,1277;126,287;15,5971;-44,536;157,257;28,5978;0;1,2;632;L B
126,996;127,007;127,007;-0,00696955;-120,004;119,99;28,8245;105,138;20,4353;-33,6164;-176,191;51,3577;0,5;1,2;632;L B
