mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_colsample_bytree;param_learning_rate;param_max_depth;param_n_estimators;param_subsample;params;mean_test_score;std_test_score;rank_test_score
177,07239685058593;2,964042804725338;0,316623592376709;0,020936438275583794;1.0;0.3;6;100;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0};0,9995726653689676;0,00017050529453046018;37
320,487672996521;2,21200772650965;0,5125246524810791;0,047672016322000126;1.0;0.1;3;200;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8};0,999547536586326;0,0003428341419534114;40
300,6234173297882;4,134007049717089;0,4694506645202637;0,036288359538247876;1.0;0.3;6;300;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0};0,9995475271085352;0,00017050762342731143;41
133,51824913024902;0,9577135593717391;0,2699692726135254;0,028248061416243486;0.8;0.3;3;100;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0};0,9995224014851573;0,0003315882879770312;42
377,53765215873716;2,149537331784814;0,6675965785980225;0,03296169025167588;0.8;0.1;6;200;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8};0,9995223920073665;0,00012316730054413988;43
541,6099821567535;3,7957353595352394;0,8283486843109131;0,038247722741420666;1.0;0.1;6;300;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0};0,9995223920073665;9,407902288857953e-05;43
295,345954990387;3,219322550414991;0,4839623928070068;0,03370719140096686;0.8;0.1;9;100;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.8};0,9994972600654612;0,00011241465848136062;45
405,3039124965668;2,811137766094498;0,6518783092498779;0,03762020105330651;0.8;0.1;3;300;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0};0,9994972600654612;0,0003465070087252528;45
234,35578961372374;2,250938988091918;0,37746357917785645;0,02370000877104821;1.0;0.3;9;200;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.8};0,9994972600654612;7,948417493954587e-05;45
152,15612683296203;1,6743680575440256;0,323150110244751;0,032793375461823315;0.8;0.3;6;100;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8};0,9994972569061975;7,950914844183803e-05;48
530,5335799694061;4,806530632732706;0,7453058242797852;0,0411540317625247;1.0;0.1;9;300;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300, 'subsample': 0.8};0,9994721218050288;0,00012315053668580898;49
173,85736579895018;2,2126695092402695;0,3004415512084961;0,04254152101863746;1.0;0.3;9;100;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.8};0,9994721218050288;9,405707474901702e-05;49
399,12856407165526;2,775775074842594;0,635792350769043;0,07029947738014636;0.8;0.1;6;200;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0};0,9994721186457654;0,00018473719332156124;51
448,3918788433075;4,044739075744007;0,6490684509277344;0,014223968003035563;1.0;0.1;6;200;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0};0,9994721154865017;0,0001465994929744917;52
317,2925572872162;1,1799632679403707;0,5172900676727294;0,03947513798943068;0.8;0.1;9;100;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100, 'subsample': 1.0};0,9994469803853328;0,00018812976034890118;53
342,9828410625458;1,968993093995448;0,5071133613586426;0,037087876670684264;1.0;0.1;3;200;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0};0,9994218516026911;0,0004022062452404254;54
449,31935448646544;6,9444086943801455;0,6173565864562989;0,04735318146596687;1.0;0.1;9;200;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.8};0,9994218484434277;0,00012818172446927819;55
566,5883470535279;6,068004616119925;0,8099091529846192;0,04955646386191181;1.0;0.1;9;300;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300, 'subsample': 1.0};0,9994218484434277;6,157850060367443e-05;55
262,5560619354248;36,26985888782784;0,2968963623046875;0,1349243332843283;1.0;0.3;9;300;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 300, 'subsample': 1.0};0,999396713342259;0,00012314537925113436;57
272,3971485137939;2,395671705036769;0,47235703468322754;0,032271286171400744;0.8;0.1;3;200;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8};0,9993967101829953;0,0002799309441637902;58
288,7420775413513;1,8772374877277271;0,4916840553283691;0,03366595490381052;0.8;0.1;3;200;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0};0,9993715782410902;0,00038943006203021757;59
182,10899624824523;1,9351843970864986;0,27450881004333494;0,03867384531975611;1.0;0.3;9;100;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 100, 'subsample': 1.0};0,9993715750818264;0,00013768792838925203;60
475,78205885887144;5,951210032596293;0,5686147212982178;0,053815809671864646;1.0;0.1;9;200;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200, 'subsample': 1.0};0,999371571922563;7,951414559019781e-05;61
242,89873785972594;2,9451693780246004;0,3597074031829834;0,04520014396502034;1.0;0.3;9;200;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 200, 'subsample': 1.0};0,9993464399806576;0,00014656969882919743;62
